subj,item,condition,order,region,position,RT
5,15,a,TSV,2,adv1,266
5,15,a,TSV,3,d2,284
5,15,a,TSV,4,na,813
5,15,a,TSV,5,adv2,303
5,15,a,TSV,6,v,231
5,15,a,TSV,7,-,283
5,15,a,TSV,8,-,269
5,15,a,TSV,9,-,657
5,15,a,TSV,?,1,1524
5,14,b,SVO,0,adv1,326
5,14,b,SVO,1,d2,268
5,14,b,SVO,2,na,248
5,14,b,SVO,3,adv2,268
5,14,b,SVO,4,v,250
5,14,b,SVO,5,d1,267
5,14,b,SVO,6,np,255
5,14,b,SVO,7,-,255
5,14,b,SVO,8,-,265
5,14,b,SVO,9,-,293
5,14,b,SVO,?,1,1053
5,16,b,SVO,0,adv1,276
5,16,b,SVO,1,d2,227
5,16,b,SVO,2,na,227
5,16,b,SVO,3,adv2,255
5,16,b,SVO,4,v,255
5,16,b,SVO,5,d1,231
5,16,b,SVO,6,np,219
5,16,b,SVO,7,-,266
5,16,b,SVO,8,-,204
5,16,b,SVO,?,1,1500
5,3,a,TSV,0,d1,225
5,3,a,TSV,1,np,288
5,3,a,TSV,2,adv1,737
5,3,a,TSV,3,d2,396
5,3,a,TSV,4,na,409
5,3,a,TSV,5,adv2,400
5,3,a,TSV,6,v,352
5,3,a,TSV,7,-,385
5,3,a,TSV,8,-,441
5,3,a,TSV,9,-,450
5,3,a,TSV,?,1,1001
5,11,a,TSV,0,d1,365
5,11,a,TSV,1,np,311
5,11,a,TSV,2,adv1,278
5,11,a,TSV,3,d2,255
5,11,a,TSV,4,na,326
5,11,a,TSV,5,adv2,261
5,11,a,TSV,6,v,318
5,11,a,TSV,7,-,251
5,11,a,TSV,8,-,250
5,11,a,TSV,?,1,1007
5,2,b,SVO,0,adv1,238
5,2,b,SVO,1,d2,280
5,2,b,SVO,2,na,259
5,2,b,SVO,3,adv2,257
5,2,b,SVO,4,v,219
5,2,b,SVO,5,d1,233
5,2,b,SVO,6,np,225
5,2,b,SVO,7,-,291
5,2,b,SVO,8,-,280
5,2,b,SVO,?,1,1433
5,7,a,TSV,0,d1,242
5,7,a,TSV,1,np,223
5,7,a,TSV,2,adv1,217
5,7,a,TSV,3,d2,223
5,7,a,TSV,4,na,231
5,7,a,TSV,5,adv2,226
5,7,a,TSV,6,v,214
5,7,a,TSV,7,-,238
5,7,a,TSV,?,1,1341
5,13,a,TSV,0,d1,238
5,13,a,TSV,1,np,356
5,13,a,TSV,2,adv1,242
5,13,a,TSV,3,d2,263
5,13,a,TSV,4,na,225
5,13,a,TSV,5,adv2,223
5,13,a,TSV,6,v,249
5,13,a,TSV,7,-,242
5,13,a,TSV,8,-,322
5,13,a,TSV,?,1,1213
5,4,b,SVO,0,adv1,291
5,4,b,SVO,1,d2,250
5,4,b,SVO,2,na,242
5,4,b,SVO,3,adv2,272
5,4,b,SVO,4,v,350
5,4,b,SVO,5,d1,229
5,4,b,SVO,6,np,272
5,4,b,SVO,7,-,216
5,4,b,SVO,8,-,243
5,4,b,SVO,?,1,1141
5,9,a,TSV,0,d1,234
5,9,a,TSV,1,np,238
5,9,a,TSV,2,adv1,229
5,9,a,TSV,3,d2,253
5,9,a,TSV,4,na,258
5,9,a,TSV,5,adv2,223
5,9,a,TSV,6,v,236
5,9,a,TSV,7,-,231
5,9,a,TSV,8,-,228
5,9,a,TSV,?,1,913
6,4,b,SVO,0,adv1,67
6,4,b,SVO,1,d2,181
6,4,b,SVO,2,na,741
6,4,b,SVO,3,adv2,278
6,4,b,SVO,4,v,288
6,4,b,SVO,5,d1,193
6,4,b,SVO,6,np,301
6,4,b,SVO,7,-,267
6,4,b,SVO,8,-,447
6,4,b,SVO,?,1,1298
6,2,b,SVO,0,adv1,202
6,2,b,SVO,1,d2,335
6,2,b,SVO,2,na,189
