subj,item,condition,order,complexity,constituent,position,Q,RT
6,20,a,TSV,RC,HN,17,-,489
6,20,a,TSV,RC,ADV,18,-,400
6,20,a,TSV,RC,quantifier,19,-,310
6,20,a,TSV,RC,Main-V1,20,-,265
6,20,a,TSV,RC,Main-V2,21,-,451
6,20,a,TSV,RC,,?,1,1421
6,24,a,TSV,RC,comma,11,-,418
6,24,a,TSV,RC,DCL,12,-,653
6,24,a,TSV,RC,DP,13,-,716
6,24,a,TSV,RC,RC-V1,14,-,667
6,24,a,TSV,RC,RC-V2,15,-,558
6,24,a,TSV,RC,DE,16,-,574
6,24,a,TSV,RC,HN,17,-,454
6,24,a,TSV,RC,ADV,18,-,583
6,24,a,TSV,RC,quantifier,19,-,559
6,24,a,TSV,RC,Main-V1,20,-,649
6,24,a,TSV,RC,Main-V2,21,-,1238
6,24,a,TSV,RC,,?,1,3304
7,3,a,TSV,RC,comma,11,-,374
7,3,a,TSV,RC,DCL,12,-,409
7,3,a,TSV,RC,DP,13,-,413
7,3,a,TSV,RC,RC-V1,14,-,429
7,3,a,TSV,RC,RC-V2,15,-,388
7,3,a,TSV,RC,DE,16,-,394
7,3,a,TSV,RC,HN,17,-,380
7,3,a,TSV,RC,ADV,18,-,370
7,3,a,TSV,RC,quantifier,19,-,320
7,3,a,TSV,RC,Main-V1,20,-,295
7,3,a,TSV,RC,Main-V2,21,-,1048
7,3,a,TSV,RC,,?,1,1770
7,7,a,TSV,RC,comma,11,-,404
7,7,a,TSV,RC,DCL,12,-,300
7,7,a,TSV,RC,DP,13,-,315
7,7,a,TSV,RC,RC-V1,14,-,338
7,7,a,TSV,RC,RC-V2,15,-,394
7,7,a,TSV,RC,DE,16,-,325
7,7,a,TSV,RC,HN,17,-,275
7,7,a,TSV,RC,ADV,18,-,270
7,7,a,TSV,RC,quantifier,19,-,315
7,7,a,TSV,RC,Main-V1,20,-,350
7,7,a,TSV,RC,Main-V2,21,-,390
7,7,a,TSV,RC,,?,1,1328
7,11,a,TSV,RC,comma,11,-,354
7,11,a,TSV,RC,DCL,12,-,290
7,11,a,TSV,RC,DP,13,-,294
7,11,a,TSV,RC,RC-V1,14,-,288
7,11,a,TSV,RC,RC-V2,15,-,399
7,11,a,TSV,RC,DE,16,-,265
7,11,a,TSV,RC,HN,17,-,255
7,11,a,TSV,RC,ADV,18,-,305
7,11,a,TSV,RC,quantifier,19,-,260
7,11,a,TSV,RC,Main-V1,20,-,270
7,11,a,TSV,RC,Main-V2,21,-,410
7,11,a,TSV,RC,,?,1,1845
7,15,a,TSV,RC,comma,11,-,261
7,15,a,TSV,RC,DCL,12,-,288
7,15,a,TSV,RC,DP,13,-,384
7,15,a,TSV,RC,RC-V1,14,-,344
7,15,a,TSV,RC,RC-V2,15,-,359
7,15,a,TSV,RC,DE,16,-,370
7,15,a,TSV,RC,HN,17,-,336
7,15,a,TSV,RC,ADV,18,-,334
7,15,a,TSV,RC,quantifier,19,-,285
7,15,a,TSV,RC,Main-V1,20,-,345
7,15,a,TSV,RC,Main-V2,21,-,455
7,15,a,TSV,RC,,?,0,1542
7,19,a,TSV,RC,comma,11,-,354
7,19,a,TSV,RC,DCL,12,-,270
7,19,a,TSV,RC,DP,13,-,333
7,19,a,TSV,RC,RC-V1,14,-,359
7,19,a,TSV,RC,RC-V2,15,-,315
7,19,a,TSV,RC,DE,16,-,394
7,19,a,TSV,RC,HN,17,-,296
7,19,a,TSV,RC,ADV,18,-,369
7,19,a,TSV,RC,quantifier,19,-,260
7,19,a,TSV,RC,Main-V1,20,-,381
7,19,a,TSV,RC,Main-V2,21,-,1690
7,19,a,TSV,RC,,?,1,1068
7,23,a,TSV,RC,comma,11,-,400
7,23,a,TSV,RC,DCL,12,-,328
7,23,a,TSV,RC,DP,13,-,324
7,23,a,TSV,RC,RC-V1,14,-,338
7,23,a,TSV,RC,RC-V2,15,-,306
7,23,a,TSV,RC,DE,16,-,508
7,23,a,TSV,RC,HN,17,-,329
7,23,a,TSV,RC,ADV,18,-,271
7,23,a,TSV,RC,quantifier,19,-,289
7,23,a,TSV,RC,Main-V1,20,-,290
7,23,a,TSV,RC,Main-V2,21,-,629
7,23,a,TSV,RC,,?,1,1860
8,2,a,TSV,RC,comma,11,-,284
8,2,a,TSV,RC,DCL,12,-,349
8,2,a,TSV,RC,DP,13,-,433
8,2,a,TSV,RC,RC-V1,14,-,369
8,2,a,TSV,RC,RC-V2,15,-,349
8,2,a,TSV,RC,DE,16,-,305
8,2,a,TSV,RC,HN,17,-,300
8,2,a,TSV,RC,ADV,18,-,286
8,2,a,TSV,RC,quantifier,19,-,339
8,2,a,TSV,RC,Main-V1,20,-,330
8,2,a,TSV,RC,Main-V2,21,-,380
8,2,a,TSV,RC,,?,1,1472
8,6,a,TSV,RC,comma,11,-,583
8,6,a,TSV,RC,DCL,12,-,484
8,6,a,TSV,RC,DP,13,-,519
8,6,a,TSV,RC,RC-V1,14,-,537
8,6,a,TSV,RC,RC-V2,15,-,494
8,6,a,TSV,RC,DE,16,-,429
8,6,a,TSV,RC,HN,17,-,570
8,6,a,TSV,RC,ADV,18,-,473
8,6,a,TSV,RC,quantifier,19,-,460
8,6,a,TSV,RC,Main-V1,20,-,508
8,6,a,TSV,RC,Main-V2,21,-,684
8,6,a,TSV,RC,,?,1,2288
8,10,a,TSV,RC,comma,11,-,394
8,10,a,TSV,RC,DCL,12,-,373
8,10,a,TSV,RC,DP,13,-,573
8,10,a,TSV,RC,RC-V1,14,-,354
8,10,a,TSV,RC,RC-V2,15,-,425
8,10,a,TSV,RC,DE,16,-,418
8,10,a,TSV,RC,HN,17,-,400
8,10,a,TSV,RC,ADV,18,-,419
8,10,a,TSV,RC,quantifier,19,-,355
8,10,a,TSV,RC,Main-V1,20,-,345
8,10,a,TSV,RC,Main-V2,21,-,530
8,10,a,TSV,RC,,?,1,5670
8,14,a,TSV,RC,comma,11,-,578
8,14,a,TSV,RC,DCL,12,-,623
8,14,a,TSV,RC,DP,13,-,622
8,14,a,TSV,RC,RC-V1,14,-,585
8,14,a,TSV,RC,RC-V2,15,-,637
8,14,a,TSV,RC,DE,16,-,545
8,14,a,TSV,RC,HN,17,-,648
8,14,a,TSV,RC,ADV,18,-,484
8,14,a,TSV,RC,quantifier,19,-,439
8,14,a,TSV,RC,Main-V1,20,-,340
8,14,a,TSV,RC,Main-V2,21,-,370
8,14,a,TSV,RC,,?,1,3633
8,18,a,TSV,RC,comma,11,-,259
8,18,a,TSV,RC,DCL,12,-,339
8,18,a,TSV,RC,DP,13,-,359
8,18,a,TSV,RC,RC-V1,14,-,349
8,18,a,TSV,RC,RC-V2,15,-,410
8,18,a,TSV,RC,DE,16,-,380
8,18,a,TSV,RC,HN,17,-,289
8,18,a,TSV,RC,ADV,18,-,280
8,18,a,TSV,RC,quantifier,19,-,275
8,18,a,TSV,RC,Main-V1,20,-,325
